Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
Richmond Mutumbami,Powerplay,20,24,4,1,4,0,83.33,16.67,4.17,66.67,0.213,Low,wicketkeeper batter
Rilee Rossouw,Death,12,8,1,1,0,1,150.0,12.5,12.5,25.0,0.361,Moderate,top-order batter
Rilee Rossouw,Middle,75,44,10,1,7,3,170.45,22.73,2.27,25.0,0.415,Moderate,top-order batter
Rilee Rossouw,Powerplay,48,32,6,3,2,4,150.0,18.75,9.38,43.75,0.342,Moderate,top-order batter
Rishabh Pant,Death,33,16,5,1,2,3,206.25,31.25,6.25,25.0,0.482,Moderate,wicketkeeper batter
Rishabh Pant,Middle,111,95,11,5,7,4,116.84,11.58,5.26,34.74,0.3,Low,wicketkeeper batter
Rishabh Pant,Powerplay,39,36,5,0,4,1,108.33,13.89,0.0,50.0,0.267,Low,wicketkeeper batter
Rishad Hossain,Death,2,4,0,1,0,0,50.0,0.0,25.0,50.0,0.158,Low,bowler
Roelof van der Merwe,Death,4,11,0,2,0,0,36.36,0.0,18.18,63.64,0.115,Low,bowling allrounder
Roelof van der Merwe,Middle,9,9,1,3,1,0,100.0,11.11,33.33,55.56,0.238,Low,bowling allrounder
Roelof van der Merwe,Powerplay,2,5,0,2,0,0,40.0,0.0,40.0,80.0,0.086,Low,bowling allrounder
Rohit Paudel,Death,1,3,0,1,0,0,33.33,0.0,33.33,66.67,0.105,Low,batting allrounder
Rohit Paudel,Middle,28,23,4,0,4,0,121.74,17.39,0.0,34.78,0.323,Low,batting allrounder
Rohit Paudel,Powerplay,10,11,1,0,1,0,90.91,9.09,0.0,72.73,0.187,Low,batting allrounder
Rohit Sharma,Middle,130,91,17,6,11,6,142.86,18.68,6.59,32.97,0.355,Moderate,top-order batter
Rohit Sharma,Powerplay,313,267,45,12,33,12,117.23,16.85,4.49,47.94,0.29,Low,top-order batter
Romario Shepherd,Death,3,6,0,1,0,0,50.0,0.0,16.67,50.0,0.158,Low,bowling allrounder
Romario Shepherd,Middle,10,8,1,0,0,1,125.0,12.5,0.0,37.5,0.307,Low,bowling allrounder
Ross Taylor,Death,65,39,7,3,4,3,166.67,17.95,7.69,28.21,0.39,Moderate,middle-order batter
Ross Taylor,Middle,30,41,1,0,1,0,73.17,2.44,0.0,41.46,0.209,Low,middle-order batter
Roston Chase,Death,26,9,5,0,4,1,288.89,55.56,0.0,0.0,0.7,High,allrounder
Roston Chase,Middle,41,36,3,1,2,1,113.89,8.33,2.78,22.22,0.312,Low,allrounder
Roston Chase,Powerplay,17,25,2,3,2,0,68.0,8.0,12.0,64.0,0.174,Low,allrounder
Rovman Powell,Death,22,20,2,3,0,2,110.0,10.0,15.0,45.0,0.267,Low,middle-order batter
Rovman Powell,Middle,41,39,4,3,4,0,105.13,10.26,7.69,38.46,0.275,Low,middle-order batter
Rovman Powell,Powerplay,1,5,0,1,0,0,20.0,0.0,20.0,80.0,0.063,Low,middle-order batter
Ruben Trumpelmann,Death,53,37,7,2,5,2,143.24,18.92,5.41,32.43,0.357,Moderate,bowler
Ruben Trumpelmann,Middle,12,16,1,1,0,1,75.0,6.25,6.25,62.5,0.18,Low,bowler
Ryan Burl,Death,32,35,1,2,1,0,91.43,2.86,5.71,28.57,0.257,Low,allrounder
Ryan Burl,Middle,73,61,12,2,10,2,119.67,19.67,3.28,49.18,0.299,Low,allrounder
Ryan Campbell,Powerplay,39,47,6,3,6,0,82.98,12.77,6.38,59.57,0.215,Low,wicketkeeper batter
Ryan ten Doeschate,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,allrounder
Saad Bin Zafar,Death,7,10,1,1,1,0,70.0,10.0,10.0,60.0,0.191,Low,allrounder
Saad Bin Zafar,Middle,5,12,0,0,0,0,41.67,0.0,0.0,58.33,0.131,Low,allrounder
Sabbir Rahman,Death,2,3,0,1,0,0,66.67,0.0,33.33,33.33,0.21,Low,middle-order batter
Sabbir Rahman,Middle,87,53,12,2,9,3,164.15,22.64,3.77,24.53,0.408,Moderate,middle-order batter
Sabbir Rahman,Powerplay,74,62,9,2,8,1,119.35,14.52,3.23,40.32,0.301,Low,middle-order batter
Sadeera Samarawickrama,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,wicketkeeper batter
Safyaan Sharif,Death,8,3,1,1,0,1,266.67,33.33,33.33,33.33,0.541,Moderate,bowler
Safyaan Sharif,Middle,4,7,0,1,0,0,57.14,0.0,14.29,42.86,0.18,Low,bowler
Saim Ayub,Powerplay,6,12,0,1,0,0,50.0,0.0,8.33,66.67,0.124,Low,top-order batter
Sam Curran,Death,11,12,1,1,0,1,91.67,8.33,8.33,50.0,0.231,Low,allrounder
Sam Curran,Middle,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,allrounder
Samiullah Shinwari,Death,53,26,9,4,7,2,203.85,34.62,15.38,23.08,0.493,Moderate,allrounder
Samiullah Shinwari,Middle,72,68,5,1,4,1,105.88,7.35,1.47,27.94,0.288,Low,allrounder
Samuel Badree,Death,2,2,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Sandeep Goud,Death,0,2,0,1,0,0,0.0,0.0,50.0,100.0,0.0,Low,allrounder
Sandeep Goud,Middle,9,14,0,1,0,0,64.29,0.0,7.14,50.0,0.174,Low,allrounder
Sarfaraz Ahmed,Death,22,17,1,1,1,0,129.41,5.88,5.88,11.76,0.343,Moderate,wicketkeeper batter
Scott Edwards,Death,56,50,5,6,4,1,112.0,10.0,12.0,34.0,0.291,Low,wicketkeeper batter
Scott Edwards,Middle,95,105,9,5,8,1,90.48,8.57,4.76,44.76,0.241,Low,wicketkeeper batter
Scott Edwards,Powerplay,9,8,1,0,1,0,112.5,12.5,0.0,25.0,0.317,Low,wicketkeeper batter
Sean Williams,Death,37,20,5,2,5,0,185.0,25.0,10.0,20.0,0.448,Moderate,middle-order batter
Sean Williams,Middle,149,122,14,6,13,1,122.13,11.48,4.92,27.87,0.32,Low,middle-order batter
Sean Williams,Powerplay,52,51,6,2,5,1,101.96,11.76,3.92,47.06,0.259,Low,middle-order batter
Semo Kamea,Death,2,3,0,0,0,0,66.67,0.0,0.0,33.33,0.21,Low,bowler
Sese Bau,Death,1,3,0,2,0,0,33.33,0.0,66.67,66.67,0.105,Low,middle-order batter
Sese Bau,Middle,82,73,10,2,8,2,112.33,13.7,2.74,41.1,0.289,Low,middle-order batter
Sese Bau,Powerplay,17,30,2,2,2,0,56.67,6.67,6.67,70.0,0.145,Low,middle-order batter
Shadab Khan,Death,44,24,5,3,3,2,183.33,20.83,12.5,33.33,0.407,Moderate,allrounder
Shadab Khan,Middle,93,62,10,3,5,5,150.0,16.13,4.84,25.81,0.37,Moderate,allrounder
Shadab Khan,Powerplay,1,4,0,0,0,0,25.0,0.0,0.0,75.0,0.079,Low,allrounder
Shadley van Schalkwyk,Death,11,10,1,0,1,0,110.0,10.0,0.0,30.0,0.297,Low,allrounder
Shafiqullah,Death,66,43,9,4,6,3,153.49,20.93,9.3,34.88,0.37,Moderate,wicketkeeper batter
Shafiqullah,Middle,0,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,Low,wicketkeeper batter
Shaheen Shah Afridi,Death,48,29,6,2,3,3,165.52,20.69,6.9,24.14,0.405,Moderate,bowler
Shahid Afridi,Death,33,14,5,2,2,3,235.71,35.71,14.29,21.43,0.536,Moderate,allrounder
Shahid Afridi,Middle,48,33,7,2,4,3,145.45,21.21,6.06,39.39,0.353,Moderate,allrounder
Shakeel Ahmed,Death,25,21,3,2,3,0,119.05,14.29,9.52,33.33,0.314,Low,bowler
Shakib Al Hasan,Death,62,40,8,2,6,2,155.0,20.0,5.0,27.5,0.384,Moderate,allrounder
Shakib Al Hasan,Middle,234,210,21,12,16,5,111.43,10.0,5.71,29.52,0.3,Low,allrounder
Shakib Al Hasan,Powerplay,69,66,9,2,8,1,104.55,13.64,3.03,42.42,0.277,Low,allrounder
Shamarh Brooks,Middle,5,12,0,2,0,0,41.67,0.0,16.67,58.33,0.131,Low,top-order batter
Shamim Hossain,Death,2,2,0,1,0,0,100.0,0.0,50.0,50.0,0.215,Low,allrounder
Shamim Hossain,Middle,28,35,2,1,1,1,80.0,5.71,2.86,54.29,0.201,Low,allrounder
Shan Masood,Death,48,32,4,1,4,0,150.0,12.5,3.12,15.62,0.379,Moderate,opening batter
Shan Masood,Middle,108,88,7,2,6,1,122.73,7.95,2.27,22.73,0.32,Low,opening batter
Shan Masood,Powerplay,25,26,2,0,2,0,96.15,7.69,0.0,50.0,0.234,Low,opening batter
Shane Watson,Death,51,26,7,0,4,3,196.15,26.92,0.0,11.54,0.484,Moderate,allrounder
Shane Watson,Middle,17,15,2,1,1,1,113.33,13.33,6.67,40.0,0.291,Low,allrounder
Shane Watson,Powerplay,26,22,3,1,3,0,118.18,13.64,4.55,27.27,0.323,Low,allrounder
Shapoor Zadran,Death,1,2,0,1,0,0,50.0,0.0,50.0,50.0,0.158,Low,bowler
Sharafuddin Ashraf,Death,2,3,0,0,0,0,66.67,0.0,0.0,33.33,0.21,Low,allrounder
Shardul Thakur,Death,0,3,0,1,0,0,0.0,0.0,33.33,100.0,0.0,Low,bowler
Shariz Ahmad,Death,25,17,3,1,3,0,147.06,17.65,5.88,23.53,0.376,Moderate,bowler
Shariz Ahmad,Middle,1,2,0,0,0,0,50.0,0.0,0.0,50.0,0.158,Low,bowler
Sharjeel Khan,Middle,2,4,0,1,0,0,50.0,0.0,25.0,50.0,0.158,Low,opening batter
Sharjeel Khan,Powerplay,115,74,21,3,18,3,155.41,28.38,4.05,45.95,0.373,Moderate,opening batter
Shayan Jahangir,Powerplay,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,batter
Shehan Jayasuriya,Middle,1,3,0,1,0,0,33.33,0.0,33.33,66.67,0.105,Low,batting allrounder
Sherfane Rutherford,Death,56,28,8,2,3,5,200.0,28.57,7.14,28.57,0.459,Moderate,middle-order batter
Sherfane Rutherford,Middle,37,33,3,0,1,2,112.12,9.09,0.0,33.33,0.29,Low,middle-order batter
Sherfane Rutherford,Powerplay,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,middle-order batter
Shikhar Dhawan,Middle,1,2,0,1,0,0,50.0,0.0,50.0,50.0,0.158,Low,opening batter
Shikhar Dhawan,Powerplay,45,49,6,3,4,2,91.84,12.24,6.12,55.1,0.232,Low,opening batter
Shimron Hetmyer,Death,46,26,7,1,4,3,176.92,26.92,3.85,30.77,0.423,Moderate,top-order batter
Shimron Hetmyer,Middle,58,51,6,2,5,1,113.73,11.76,3.92,33.33,0.3,Low,top-order batter
Shimron Hetmyer,Powerplay,26,23,4,1,4,0,113.04,17.39,4.35,43.48,0.296,Low,top-order batter
Shivam Dube,Death,13,7,0,0,0,0,185.71,0.0,0.0,14.29,0.386,Moderate,allrounder
Shivam Dube,Middle,26,39,2,1,1,1,66.67,5.13,2.56,56.41,0.179,Low,allrounder
Shoaib Khan,Middle,11,27,1,2,1,0,40.74,3.7,7.41,74.07,0.11,Low,batter
Shoaib Malik,Death,163,84,19,3,9,10,194.05,22.62,3.57,14.29,0.463,Moderate,allrounder
Shoaib Malik,Middle,32,28,3,0,2,1,114.29,10.71,0.0,28.57,0.307,Low,allrounder
Shoriful Islam,Middle,0,2,0,1,0,0,0.0,0.0,50.0,100.0,0.0,Low,bowler
Shreyas Movva,Death,43,26,4,1,2,2,165.38,15.38,3.85,11.54,0.414,Moderate,wicketkeeper batter
Shreyas Movva,Middle,25,34,2,1,2,0,73.53,5.88,2.94,50.0,0.202,Low,wicketkeeper batter
Shuvagata Hom,Death,5,4,1,1,1,0,125.0,25.0,25.0,50.0,0.319,Low,batting allrounder
Shuvagata Hom,Middle,24,24,3,1,2,1,100.0,12.5,4.17,45.83,0.261,Low,batting allrounder
Sikandar Raza,Death,25,21,1,2,1,0,119.05,4.76,9.52,28.57,0.295,Low,batting allrounder
Sikandar Raza,Middle,213,144,25,5,14,11,147.92,17.36,3.47,33.33,0.356,Moderate,batting allrounder
Sikandar Raza,Powerplay,7,9,1,2,1,0,77.78,11.11,22.22,55.56,0.212,Low,batting allrounder
Simi Singh,Death,10,18,0,1,0,0,55.56,0.0,5.56,44.44,0.175,Low,bowling allrounder
Simi Singh,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowling allrounder
Simon Atai,Death,4,5,0,1,0,0,80.0,0.0,20.0,40.0,0.212,Low,wicketkeeper batter
Simon Atai,Powerplay,2,4,0,2,0,0,50.0,0.0,50.0,75.0,0.108,Low,wicketkeeper batter
Sompal Kami,Middle,0,5,0,1,0,0,0.0,0.0,20.0,100.0,0.0,Low,bowling allrounder
Soumya Sarkar,Death,17,11,2,1,1,1,154.55,18.18,9.09,27.27,0.378,Moderate,batting allrounder
Soumya Sarkar,Middle,23,28,1,3,1,0,82.14,3.57,10.71,35.71,0.234,Low,batting allrounder
Soumya Sarkar,Powerplay,100,101,14,11,11,3,99.01,13.86,10.89,60.4,0.235,Low,batting allrounder
Stephan Baard,Middle,46,49,2,4,2,0,93.88,4.08,8.16,32.65,0.255,Low,batter
Stephan Baard,Powerplay,98,100,10,2,8,2,98.0,10.0,2.0,48.0,0.247,Low,batter
Stephan Myburgh,Middle,12,14,1,2,1,0,85.71,7.14,14.29,50.0,0.22,Low,opening batter
Stephan Myburgh,Powerplay,124,102,21,5,20,1,121.57,20.59,4.9,49.02,0.304,Low,opening batter
Steven Smith,Death,30,20,3,0,3,0,150.0,15.0,0.0,15.0,0.388,Moderate,top-order batter
Steven Smith,Middle,108,101,10,5,9,1,106.93,9.9,4.95,30.69,0.292,Low,top-order batter
Steven Smith,Powerplay,25,22,2,2,2,0,113.64,9.09,9.09,54.55,0.249,Low,top-order batter
Steven Taylor,Middle,19,19,2,1,0,2,100.0,10.53,5.26,57.89,0.231,Low,opening batter
Steven Taylor,Powerplay,17,29,1,2,1,0,58.62,3.45,6.9,58.62,0.161,Low,opening batter
Sultan Ahmed,Death,1,2,0,1,0,0,50.0,0.0,50.0,50.0,0.158,Low,wicketkeeper batter
Sultan Ahmed,Middle,1,3,0,1,0,0,33.33,0.0,33.33,66.67,0.105,Low,wicketkeeper batter
Suraj Kumar,Death,4,7,0,1,0,0,57.14,0.0,14.29,42.86,0.18,Low,wicketkeeper batter
Suranga Lakmal,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Suresh Raina,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,middle-order batter
Suresh Raina,Middle,39,27,4,1,2,2,144.44,14.81,3.7,22.22,0.367,Moderate,middle-order batter
Suresh Raina,Powerplay,1,4,0,2,0,0,25.0,0.0,50.0,75.0,0.079,Low,middle-order batter
Suryakumar Yadav,Death,106,51,16,1,13,3,207.84,31.37,1.96,15.69,0.503,Moderate,batter
Suryakumar Yadav,Middle,168,124,21,4,16,5,135.48,16.94,3.23,33.06,0.341,Moderate,batter
Suryakumar Yadav,Powerplay,41,32,5,2,3,2,128.12,15.62,6.25,46.88,0.301,Low,batter
Sybrand Engelbrecht,Death,19,16,2,1,1,1,118.75,12.5,6.25,43.75,0.287,Low,allrounder
Sybrand Engelbrecht,Middle,61,54,5,1,4,1,112.96,9.26,1.85,33.33,0.291,Low,allrounder
Sybrand Engelbrecht,Powerplay,5,6,1,0,1,0,83.33,16.67,0.0,66.67,0.213,Low,allrounder
Tabraiz Shamsi,Death,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Tabraiz Shamsi,Middle,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Tamim Iqbal,Death,52,33,6,0,3,3,157.58,18.18,0.0,27.27,0.382,Moderate,opening batter
Tamim Iqbal,Middle,126,75,17,3,10,7,168.0,22.67,4.0,26.67,0.409,Moderate,opening batter
Tamim Iqbal,Powerplay,121,99,15,0,11,4,122.22,15.15,0.0,40.4,0.306,Low,opening batter
Tanwir Afzal,Death,33,25,3,1,2,1,132.0,12.0,4.0,36.0,0.316,Low,allrounder
Tanwir Afzal,Middle,0,3,0,0,0,0,0.0,0.0,0.0,100.0,0.0,Low,allrounder
Tanzid Hasan,Middle,12,8,2,1,2,0,150.0,25.0,12.5,37.5,0.373,Moderate,opening batter
Tanzid Hasan,Powerplay,37,33,6,2,5,1,112.12,18.18,6.06,54.55,0.275,Low,opening batter
Tanzim Hasan Sakib,Death,1,4,0,0,0,0,25.0,0.0,0.0,75.0,0.079,Low,bowler
Taskin Ahmed,Death,14,24,0,5,0,0,58.33,0.0,20.83,54.17,0.159,Low,bowler
Taskin Ahmed,Middle,26,27,3,1,2,1,96.3,11.11,3.7,48.15,0.248,Low,bowler
Teja Nidamanuru,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,allrounder
Temba Bavuma,Death,11,7,1,1,0,1,157.14,14.29,14.29,28.57,0.367,Moderate,middle-order batter
Temba Bavuma,Middle,70,61,6,2,4,2,114.75,9.84,3.28,37.7,0.287,Low,middle-order batter
Temba Bavuma,Powerplay,80,77,9,5,8,1,103.9,11.69,6.49,45.45,0.264,Low,middle-order batter
Tendai Chatara,Death,22,26,2,3,2,0,84.62,7.69,11.54,46.15,0.228,Low,bowler
Thisara Perera,Death,31,20,5,2,3,2,155.0,25.0,10.0,40.0,0.374,Moderate,bowling allrounder
Thisara Perera,Middle,51,34,5,1,3,2,150.0,14.71,2.94,20.59,0.376,Moderate,bowling allrounder
Tillakaratne Dilshan,Death,20,13,3,1,3,0,153.85,23.08,7.69,23.08,0.401,Moderate,allrounder
Tillakaratne Dilshan,Middle,58,53,6,2,5,1,109.43,11.32,3.77,35.85,0.289,Low,allrounder
Tillakaratne Dilshan,Powerplay,48,40,7,2,4,3,120.0,17.5,5.0,50.0,0.291,Low,allrounder
Tim David,Death,35,21,5,2,4,1,166.67,23.81,9.52,19.05,0.426,Moderate,middle-order batter
Tim David,Middle,12,9,1,1,0,1,133.33,11.11,11.11,33.33,0.321,Low,middle-order batter
Tim Pringle,Death,33,46,0,5,0,0,71.74,0.0,10.87,52.17,0.178,Low,allrounder
Tim Pringle,Middle,18,22,2,1,1,1,81.82,9.09,4.55,54.55,0.213,Low,allrounder
Tim Seifert,Death,16,14,2,1,2,0,114.29,14.29,7.14,35.71,0.303,Low,wicketkeeper batter
Tim Southee,Death,6,4,1,1,1,0,150.0,25.0,25.0,25.0,0.398,Moderate,bowler
Timm van der Gugten,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Tinashe Panyangara,Death,18,8,2,0,0,2,225.0,25.0,0.0,12.5,0.51,Moderate,bowler
Tom Cooper,Death,8,7,1,2,1,0,114.29,14.29,28.57,28.57,0.318,Low,middle-order batter
Tom Cooper,Middle,103,102,9,6,7,2,100.98,8.82,5.88,42.16,0.259,Low,middle-order batter
Tom Cooper,Powerplay,14,13,2,1,1,1,107.69,15.38,7.69,53.85,0.263,Low,middle-order batter
Tony Munyonga,Middle,5,4,1,1,1,0,125.0,25.0,25.0,50.0,0.319,Low,allrounder
Tony Munyonga,Powerplay,2,6,0,1,0,0,33.33,0.0,16.67,66.67,0.105,Low,allrounder
Tony Ura,Powerplay,24,36,1,5,1,0,66.67,2.78,13.89,55.56,0.174,Low,opening batter
Towhid Hridoy,Death,8,6,1,1,1,0,133.33,16.67,16.67,16.67,0.371,Moderate,top-order batter
Towhid Hridoy,Middle,78,60,8,2,2,6,130.0,13.33,3.33,43.33,0.303,Low,top-order batter
Towhid Hridoy,Powerplay,1,2,0,0,0,0,50.0,0.0,0.0,50.0,0.158,Low,top-order batter
Travis Head,Powerplay,80,45,14,2,9,5,177.78,31.11,4.44,44.44,0.41,Moderate,top-order batter
Trent Boult,Death,7,4,1,1,0,1,175.0,25.0,25.0,50.0,0.377,Moderate,bowler
Trent Boult,Middle,3,7,0,0,0,0,42.86,0.0,0.0,57.14,0.135,Low,bowler
Tristan Stubbs,Death,10,13,1,3,1,0,76.92,7.69,23.08,53.85,0.204,Low,batter
Tristan Stubbs,Middle,60,64,4,2,2,2,93.75,6.25,3.12,42.19,0.243,Low,batter
Tristan Stubbs,Powerplay,10,24,0,1,0,0,41.67,0.0,4.17,70.83,0.106,Low,batter
Umar Akmal,Death,10,13,0,3,0,0,76.92,0.0,23.08,46.15,0.196,Low,middle-order batter
Umar Akmal,Middle,66,49,6,1,4,2,134.69,12.24,2.04,28.57,0.335,Moderate,middle-order batter
Umar Akmal,Powerplay,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,middle-order batter
Usman Ghani,Death,11,11,1,1,1,0,100.0,9.09,9.09,27.27,0.288,Low,opening batter
Usman Ghani,Middle,35,33,3,1,2,1,106.06,9.09,3.03,39.39,0.271,Low,opening batter
Usman Ghani,Powerplay,14,23,2,2,2,0,60.87,8.7,8.7,65.22,0.166,Low,opening batter
Usman Khan,Death,2,1,0,0,0,0,200.0,0.0,0.0,0.0,0.431,Moderate,top-order batter
Usman Khan,Middle,12,12,1,1,1,0,100.0,8.33,8.33,33.33,0.274,Low,top-order batter
Usman Khan,Powerplay,4,6,0,1,0,0,66.67,0.0,16.67,66.67,0.144,Low,top-order batter
Usman Khawaja,Middle,30,26,2,1,2,0,115.38,7.69,3.85,19.23,0.318,Low,top-order batter
Usman Khawaja,Powerplay,115,77,22,2,20,2,149.35,28.57,2.6,42.86,0.372,Moderate,top-order batter
Vikramjit Singh,Middle,31,29,3,3,0,3,106.9,10.34,10.34,51.72,0.251,Low,opening batter
Vikramjit Singh,Powerplay,89,93,12,5,10,2,95.7,12.9,5.38,55.91,0.237,Low,opening batter
Virat Kohli,Death,218,101,33,3,26,7,215.84,32.67,2.97,17.82,0.511,Moderate,top-order batter
Virat Kohli,Middle,315,269,28,5,24,4,117.1,10.41,1.86,26.77,0.313,Low,top-order batter
Virat Kohli,Powerplay,111,106,12,3,10,2,104.72,11.32,2.83,42.45,0.27,Low,top-order batter
Vriitya Aravind,Death,9,10,0,2,0,0,90.0,0.0,20.0,40.0,0.224,Low,wicketkeeper batter
Vriitya Aravind,Middle,23,34,2,2,2,0,67.65,5.88,5.88,58.82,0.178,Low,wicketkeeper batter
Vriitya Aravind,Powerplay,16,27,1,0,1,0,59.26,3.7,0.0,62.96,0.154,Low,wicketkeeper batter
Vusi Sibanda,Death,8,4,1,1,0,1,200.0,25.0,25.0,25.0,0.456,Moderate,opening batter
Vusi Sibanda,Middle,35,28,2,2,1,1,125.0,7.14,7.14,28.57,0.309,Low,opening batter
Vusi Sibanda,Powerplay,40,46,4,2,4,0,86.96,8.7,4.35,45.65,0.235,Low,opening batter
Wahab Riaz,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Wanindu Hasaranga,Death,30,29,3,5,3,0,103.45,10.34,17.24,48.28,0.254,Low,allrounder
Wanindu Hasaranga,Middle,88,72,10,7,8,2,122.22,13.89,9.72,36.11,0.31,Low,allrounder
Wanindu Hasaranga,Powerplay,26,16,6,0,6,0,162.5,37.5,0.0,50.0,0.4,Moderate,allrounder
Wayne Parnell,Death,2,9,0,1,0,0,22.22,0.0,11.11,77.78,0.07,Low,bowler
Wayne Parnell,Middle,3,3,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Wellington Masakadza,Death,13,18,1,2,1,0,72.22,5.56,11.11,44.44,0.211,Low,bowler
Wellington Masakadza,Middle,1,7,0,0,0,0,14.29,0.0,0.0,85.71,0.045,Low,bowler
Wesley Barresi,Powerplay,17,16,2,2,1,1,106.25,12.5,12.5,43.75,0.273,Low,batter
Wessly Madhevere,Middle,22,10,3,1,2,1,220.0,30.0,10.0,10.0,0.524,Moderate,allrounder
Wessly Madhevere,Powerplay,87,72,13,7,12,1,120.83,18.06,9.72,50.0,0.294,Low,allrounder
Will Jacks,Middle,10,10,1,1,1,0,100.0,10.0,10.0,30.0,0.285,Low,batting allrounder
Will Jacks,Powerplay,1,6,0,1,0,0,16.67,0.0,16.67,83.33,0.053,Low,batting allrounder
William Porterfield,Middle,15,11,2,1,2,0,136.36,18.18,9.09,18.18,0.376,Moderate,batter
William Porterfield,Powerplay,27,23,3,1,2,1,117.39,13.04,4.35,65.22,0.244,Low,batter
Yasir Ali,Death,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,middle-order batter
Yasir Ali,Middle,4,8,0,2,0,0,50.0,0.0,25.0,50.0,0.158,Low,middle-order batter
Yuvraj Singh,Death,3,6,0,1,0,0,50.0,0.0,16.67,66.67,0.124,Low,middle-order batter
Yuvraj Singh,Middle,45,35,4,2,2,2,128.57,11.43,5.71,22.86,0.337,Moderate,middle-order batter
Yuvraj Singh,Powerplay,5,11,1,1,1,0,45.45,9.09,9.09,81.82,0.116,Low,middle-order batter
Zahoor Khan,Death,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Zane Green,Death,20,17,3,4,2,1,117.65,17.65,23.53,47.06,0.295,Low,wicketkeeper batter
Zane Green,Middle,60,77,2,4,1,1,77.92,2.6,5.19,40.26,0.217,Low,wicketkeeper batter
Zane Green,Powerplay,33,44,3,2,3,0,75.0,6.82,4.55,59.09,0.189,Low,wicketkeeper batter
Zawar Farid,Death,2,4,0,0,0,0,50.0,0.0,0.0,50.0,0.158,Low,bowler
Zeeshan Maqsood,Death,15,13,1,1,0,1,115.38,7.69,7.69,30.77,0.295,Low,opening batter
Zeeshan Maqsood,Middle,43,52,4,5,3,1,82.69,7.69,9.62,46.15,0.226,Low,opening batter
Zeeshan Maqsood,Powerplay,54,49,10,2,10,0,110.2,20.41,4.08,57.14,0.274,Low,opening batter
